hospID,areaID,hospital,url
bse,sezana,Bolnišnica Sežana,https://www.bolnisnica-sezana.si/
bto,sostanj,Bolnišnica Topolščica,http://www.boltop.si/
sbbr,brezice,SB Brežice,https://www.sb-brezice.si/
sbce,celje,SB Celje,https://www.sb-celje.si/
sbiz,izola,SB Izola,https://www.sb-izola.si/
sbje,jesenice,SB Jesenice,https://www.sb-je.si/
sbms,murska_sobota,SB Murska Sobota,https://www.sb-ms.si/
sbng,nova_gorica,SB Nova Gorica,http://www.bolnisnica-go.si/
sbnm,novo_mesto,SB Novo mesto,https://www.sb-nm.si/
sbpt,ptuj,SB Ptuj,http://www.sb-ptuj.si/
sbsg,slovenj_gradec,SB Slovenj Gradec,https://www.sb-sg.si/
sbtr,trbovlje,SB Trbovlje,http://www.sb-trbovlje.si/
ukclj,ljubljana,UKC Ljubljana,https://www.kclj.si/
ukcmb,maribor,UKC Maribor,https://www.ukc-mb.si/
ukg,kranj,UK Golnik,https://www.klinika-golnik.si/
upklj,ljubljana,UPK Ljubljana,https://www.psih-klinika.si/
pbbe,radovljica,PB Begunje,https://www.pb-begunje.si/
pbvo,vojnik,PB Vojnik,https://www.pb-vojnik.si/
pbor,ormoz,PB Ormož,https://www.pb-ormoz.si/
pbid,idrija,PB Idrija,https://www.pb-idrija.si/